Station Name,Longitude,Latitude
23007DI,-1.95,4.783
23007DIX,-1.95,4.7833
23005PRI,-2.133,4.8
23002SES,-1.917,4.85
23001AXM,-2.2333,4.8667
23001AM,-2.233,4.867
23004AGO,-1.967,4.883
23005TAK,-1.766,4.89
23003TDI,-1.774,4.894
18025ABR,-2.05,4.9
23007TAK,-1.75,4.9
18006AVR,-2.167,4.917
23003ESI,-2.35,4.933
23001PRE,-1.867,4.933
23006SEK,-1.717,4.95
23002EIK,-2.467,4.967
23008NKR,-2.323,4.967
23000ATU,-2.567,4.983
23000INC,-1.683,4.983
23019KEN,-2.65,5
18021NSU,-2.033,5
23014BON,-2.733,5.017
23013AIY,-2.467,5.033
18022SUK,-2.15,5.033
23016HAL,-2.883,5.05
23018TAK,-2.8,5.05
23025ANG,-1.767,5.05
23021KOM,-1.483,5.05
23040KOM,-1.501,5.066
23063TIK,-2.533,5.083
23031MAN,-1.833,5.083
23024ELM,-1.35,5.083
23017MPA,-2.583,5.1
09004SHI,-2.1,5.1
19050DOM,-1.667,5.1
23048CAP,-1.25,5.1
23000CAP,-1.265,5.102
23044CAP,-1.264,5.117
16028DAB,-1.7,5.133
23027BEN,-1.9,5.15
23049AMI,-1.35,5.15
23006ANK,-1.367,5.167
17004ABR,-1.433,5.183
23012BRI,-1.283,5.183
18029ESU,-1.933,5.2
23022SAL,-1.067,5.2
23007ASE,-1.217,5.217
23019JUK,-1.333,5.25
23035MAN,-1.017,5.267
16015ELU,-2.783,5.28
23061APA,-0.7333,5.2833
18033TAR,-1.983,5.3
23011ASU,-1.233,5.3
23043ABR,-1.383,5.333
23003ABU,-1.167,5.333
23060EKR,-0.9167,5.3333
23067WIN,-0.6167,5.3333
23035ENY,-0.9667,5.35
18012SIM,-0.6369,5.3567
18039ABO,-1.967,5.367
23041ANK,-1.45,5.383
23046SEN,-0.4833,5.3833
18030NKW,-2.35,5.4
18006BON,-2.167,5.4
18005BOG,-2.033,5.4
23070ESI,-0.9833,5.4
16009JEM,-2.683,5.417
18026PRE,-2.15,5.433
20046AMP,-1.517,5.433
23040DAW,-0.7833,5.4333
18003ANK,-2.117,5.45
18028ASS,-1.15,5.45
23033BIS,-0.9833,5.45
23045POT,-0.6,5.45
23043NYA,-0.4,5.467
23042HEM,-1.533,5.483
23036GOM,-0.85,5.5
23044OBU,-0.5,5.5
23045ASS,-1.167,5.517
23066AGO,-0.7,5.517
18037SUB,-1.75,5.533
23037AGO,-0.8167,5.5333
23004KOR,-0.2229,5.536
23092WEI,-0.4,5.55
23098ACC,-0.1863,5.555
23097ACC,-0.2078,5.5612
18027BOG,-2.033,5.567
18026ATI,-1.7,5.567
23088SFA,-0.45,5.567
22020WEI,-0.35,5.567
23002AWW,-0.3422,5.5713
23094ACC,-0.2445,5.5731
23095ACC,-0.2084,5.5742
18030INS,-1.933,5.583
23005ASS,-1.206,5.583
23032ASI,-0.9833,5.5833
23012NUN,-0.0833,5.5833
23096ACC,-0.1989,5.5917
16011MAP,-2.733,5.6
18020SAM,-2.567,5.6
23023TWI,-1.55,5.6
23042NYA,-0.7833,5.6
23080KWA,-0.6333,5.6
23016ACC,-0.168,5.61
23082ACH,-0.2167,5.6167
16013ADJ,-2.633,5.617
18008HIA,-2.167,5.617
23013TEM,0,5.617
18010MAN,-2.25,5.633
23076OKE,-0.6167,5.6333
23024TEM,0.001714,5.633415
23055LEG,-0.1833,5.65
23084MPE,-0.1645,5.652
18001ADA,-2.1,5.683
22014POK,-0.2833,5.6833
23085ASH,-0.0333,5.6833
18032OPO,-1.85,5.7
20018FOS,-1.283,5.7
23034BRA,-0.9833,5.7
23006ADE,-0.1833,5.7
23021AYR,-0.6167,5.7167
16000ACH,-2.317,5.717
23000ABO,-0.2,5.733
23013OSH,-0.15,5.733
23059OYA,-0.1833,5.7333
23000NEW,0.1667,5.7333
20009ASS,-1.283,5.75
23057AKR,-0.7667,5.7667
23083AMR,0.1333,5.7667
16023ASA,-2.533,5.767
18047OPO,-1.8,5.767
20009FOS,-1.283,5.767
23056DAW,0.05,5.767
23017DZI,0.7675,5.7769
23002ADA,0.622,5.778
18002WAS,-2.083,5.783
19036APE,-1.1,5.783
23003ANL,0.9,5.783
22023ADE,-0.4833,5.7833
23086DAN,-0.1667,5.7833
23025AKP,0.3833,5.7833
23023PUT,0.5333,5.7833
23016SRO,0.8333,5.7833
16004ASA,-2.433,5.8
23052MEP,-0.6,5.8
23071AFI,0.0167,5.8
23011MOB,-0.0167,5.8167
16007ENC,-2.817,5.817
18024ABE,-2.017,5.817
23075ABA,-0.65,5.817
22027NSA,-0.35,5.817
19049ACH,-1.983,5.833
23029ABU,-0.1743,5.8513
21053BIE,-0.9333,5.8667
23018ASA,-0.6667,5.8667
20008ASS,-1.35,5.867
23026BED,0.55,5.883
23009DOD,-0.1167,5.8833
23012SHA,0.0333,5.8833
23009GAL,0.6833,5.8833
18014DEN,-1.833,5.9
23022TAM,0.5333,5.9
23007ASI,0.65,5.9
21022ODA,-0.9833,5.9167
23089POM,-0.2333,5.9167
23015KET,0.9833,5.9167
14065MAM,-0.15,5.917
23073AYI,-0.05,5.917
21088ODA,-0.9784,5.9293
23028OWU,-0.6,5.933
23051KOF,-0.5667,5.9333
16029AGU,-2.317,5.95
21074OSE,-0.75,5.95
23073AYI,-0.4167,5.95
22058MAN,-0.2833,5.95
23005ATI,0.85,5.95
14062AKR,-0.0833,5.9667
17015DUN,-1.783,5.967
23078ODU,-0.2,5.967
23073AYI,-0.9922,5.9685
17016DUN,-1.789,5.977
14068TIN,-0.2333,5.9833
07021AGO,0.0167,5.9833
07008DAB,0.6833,5.9833
23011ANY,0.9158,5.9833
21000ABE,-1.05,6
21035ABO,0,6
17049ADU,0.3833,6
07006AME,0.4,6
07010SOG,0.6,6
07008OSU,0.1833,6.0167
23048AFI,0.9833,6.0167
14058AKO,-0.4,6.017
23021AKW,-2.867,6.033
22032SUH,-0.45,6.033
23000ADI,1.083,6.033
21067KUS,-0.8667,6.0333
07034AVE,0.3667,6.0333
15080HAV,0.7833,6.0333
07069KAS,0.25,6.05
15049AGB,0.7167,6.05
23047ABO,0.8667,6.05
07035DUF,0.1333,6.0667
07063ASU,0.1833,6.0667
07062ADI,0.5167,6.0667
18002ANA,-2.067,6.067
21046API,-0.7,6.067
07044VOL,0.3,6.067
07039MAF,0.5114,6.0732
07070ASU,0.1963,6.0757
22050KOF,-1.833,6.083
19050AYI,-1.15,6.083
22050KDA,-0.25,6.083
23003AGB,1.033,6.083
07060LUP,0.2333,6.0833
23067AFI,0.9167,6.0833
07003AKU,0.1193,6.0945
16020BOP,-2.6,6.1
18001OBU,-2.05,6.1
17028FUM,-1.45,6.1
22033NAN,-0.3833,6.1
14073BOT,-0.2,6.1
07053SOM,-0.0167,6.1
07061NAT,0.1167,6.1167
07046ZOM,0.3833,6.1167
07032AME,0.5833,6.1167
10022AHI,-2.783,6.117
15076AKA,0.8,6.117
23006DEN,1.117,6.117
23002AFL,1.187,6.117
15051AKA,0.8008,6.1256
10001DAD,-3.033,6.133
22012APE,-0.5,6.133
14026OYO,-0.3,6.133
23053OHA,0.9,6.133
07056KLU,0.5333,6.1333
07033AVE,0.6333,6.1333
18000DIA,-2.15,6.15
19001AKO,-1.067,6.15
07006KPO,0.0667,6.15
23004EHI,1,6.15
22062ASA,-0.4667,6.1667
14039HUH,-0.1667,6.1667
21020KIB,-0.55,6.167
07040BAN,0,6.167
07007KPO,0.06804,6.16846
07074OGO,0.1,6.183
23054TAD,0.9,6.183
22037KUK,-0.3667,6.1833
16015BEK,-2.321,6.196
16026WIA,-2.483,6.2
16008WIA,-2.483,6.2
21035AKO,-0.65,6.2
07009SEN,0.0833,6.2
07038KPO,0.7,6.2
22024TAF,-0.3667,6.2167
19022AME,-1.167,6.217
21023OTU,-0.9,6.217
07036KLU,0.15,6.217
07042DED,0.2,6.217
07045WOR,0.45,6.217
18009AWA,-2.283,6.233
07037KPE,0.55,6.233
18007KAN,-2.283,6.25
17032BRO,-1.483,6.25
21013ASU,-0.8833,6.2667
07041SAS,0.6167,6.2667
17029FOM,-1.517,6.283
17026BOD,-1.417,6.283
21015BUN,-0.4667,6.2833
17040AKR,-1.65,6.3
17021AKR,-1.633,6.3
17048DOM,-1.533,6.3
14041SEK,-1.333,6.3
07059AKO,0.05,6.3
07040POR,0.2,6.3
07031AHU,0.55,6.3
19030PAN,0.51,6.31
21021KWA,-0.5833,6.3167
21036BOS,-0.4167,6.3167
07065MPA,0.1167,6.3167
10006JAB,-2.833,6.333
19002NTR,-1.083,6.333
21048ASA,-0.6667,6.3333
07005FRA,0.1667,6.3333
21022OSI,-0.4833,6.35
14027BIS,-0.1167,6.35
15012ADA,0.6333,6.35
14000ADU,0.0667,6.3667
14052ANY,-0.05,6.367
07064AJE,0.05,6.367
15015DAK,0.85,6.367
21011ANY,-0.55,6.383
14014BEG,-0.3833,6.3833
14045ASE,-0.1333,6.3833
17027ADU,-1.95,6.4
21063ABA,-0.6333,6.4167
15024ZIO,0.75,6.417
10003BEN,-2.767,6.433
17033POA,-1.683,6.433
15013WAY,0.6287,6.446
17024ANT,-1.8,6.45
17025BEK,-1.567,6.45
21049KAN,-0.6167,6.45
07066NKW,0.1667,6.45
14047ONU,-0.3167,6.4667
16004BIB,-2.35,6.467
19037MOR,-1.433,6.467
19023ANK,-1.383,6.467
10023ASE,-2.917,6.5
07004ANU,0.15,6.5
14056ODO,-0.2333,6.5167
07010ABU,0.3667,6.5167
07011ABO,0.5,6.517
07075ASA,0.15,6.533
14066DED,-0.2667,6.5333
07028PEK,0.2333,6.5333
07055TSI,0.2833,6.5333
17031PAK,-1.683,6.55
19043NKA,-0.7667,6.55
07061BOS,0.1667,6.55
15020KPE,0.7,6.55
07023SOK,0.3833,6.5667
10002AJU,-3.017,6.567
19006JUA,-1.117,6.583
14044MPR,-0.7333,6.5833
07002DED,-0.2833,6.5833
17017NYI,-2.117,6.6
19005OBO,-0.8167,6.6
07017HO,0.4667,6.6
14055AMA,-0.4167,6.6167
14051AMP,-0.3333,6.6167
07072TON,0.1833,6.6167
19007KON,-1.217,6.617
19007KOO,-1.217,6.617
19005BOM,-1.05,6.633
14008TAF,-0.6667,6.65
15018HOD,0.6167,6.65
17013NKA,-1.667,6.667
17036KUM,-1.56,6.68
14067ABE,-0.7472,6.6803
14000ABE,-0.7472,6.6803
14042ABE,-0.7472,6.6803
19004BOB,-1.35,6.683
07026KPE,0.3333,6.6833
07021MAT,0.4833,6.6833
16012KUK,-2.45,6.7
17012KWA,-1.65,6.7
14001KWA,-0.5167,6.7
17045OPO,-1.617,6.717
17009KSI,-1.592,6.717
17011KUM,1.65,6.717
14003FWE,-0.8333,6.7333
17016OWA,-1.717,6.75
07073BOT,0.2667,6.75
20003AGO,-1.083,6.783
15016DZO,0.4333,6.7833
16010GOA,-2.517,6.8
16016MPE,-2.133,6.8
17054FAW,-1.583,6.8
15022SHI,0.5667,6.8
17041MAN,-1.867,6.817
17043MAR,-1.733,6.817
17014NTO,-1.517,6.833
07029WUS,0.25,6.833
14057FOR,-0.3333,6.8333
17044BAR,-1.733,6.85
07060AME,0.4333,6.85
07019HON,0.5167,6.85
14081BOA,-0.4833,6.8667
14042KWA,-1.617,6.883
14007ODU,0.2333,6.8833
07025ANF,0.2833,6.8833
16024MIM,-2.55,6.9
17015OFF,-1.65,6.9
14019KUM,-1.267,6.9
16013WIA,-2.033,6.917
19017EFI,-1.4,6.917
16011HWI,-2.35,6.933
17008KOK,-1.683,6.933
17020AGO,-1.483,6.933
08005BAN,-1.383,6.933
07075SOV,0.3,6.933
14009TEA,-0.2667,6.9333
07059MEM,-0.05,6.95
14070DUK,-0.9833,6.9667
17018JAM,-1.483,6.967
07027LEK,0.5,6.967
07018KPA,0.2813,6.9991
17011POK,-1.95,7
13001SAM,-0.1667,7
07017KPA,0.2833,7
16001TEP,-2.183,7.017
14018NSU,-1.367,7.017
17024TET,-1.633,7.033
13000DON,-0.1,7.05
07024AMA,0.0167,7.05
14010MAM,-1.4,7.051
07019HEL,0.5167,7.0667
10029DIA,-2.983,7.067
01000KEN,-2.65,7.067
14009MAM,-1.4,7.067
14017DRA,-1.117,7.067
16004BEC,-2.033,7.083
14016AMO,-1.317,7.083
22026BEP,-1.562,7.088
07026NKO,0.3167,7.1167
07027ALA,-0.4,7.117
17000ABO,-1.733,7.133
14005KOF,-1.483,7.133
16003ATR,-2.667,7.15
07016HOH,0.4833,7.15
16010DUA,-2.1,7.167
14021ABW,-1.4,7.183
10026SUH,-0.45,7.183
07015WUR,0.3333,7.1833
07007LIK,0.6167,7.1833
14019AFR,-1.25,7.233
13028NTO,0.0333,7.2333
07001AKP,0.4833,7.25
07010NEW,0.5833,7.2833
10020WAM,-2.7,7.3
11002NKE,-1.883,7.3
14012SEK,-1.583,7.3
07003BAG,-0.6333,7.3
16028SUB,-0.0167,7.3
07013TET,0.5091,7.3047
07006KWA,0.3167,7.3167
01016SUN,-2.333,7.333
01032SUN,-2.33,7.359
07012TAK,0.4,7.367
20025ASU,-2.867,7.383
14004EJU,-1.367,7.383
01013NSO,-2.467,7.4
01006CHI,-2.183,7.4
16001AKU,-1.95,7.4
07004JAS,0.4667,7.4167
11013DON,-1.667,7.417
07000AKA,0.4,7.433
01005BER,-2.583,7.45
16026TAN,-1.967,7.45
20024ATU,-2.783,7.483
11006AKU,-1.717,7.483
07014WOR,0.3667,7.5167
07030KAD,0.4833,7.5167
01019TRU,-2.15,7.55
07008MEN,0.5167,7.5667
16008TEC,-1.933,7.567
11007NKO,-1.717,7.567
01022GYA,-2.783,7.583
12003AKO,-1.167,7.583
12016MFR,-0.7,7.633
07011PAP,0.5,7.667
07013KAT,-0.2833,7.6833
07014NSU,0.3333,7.7167
01015SEI,-2.517,7.717
11014BOD,-1.75,7.717
07014ASU,-2.617,7.733
12004KWA,-0.6833,7.7333
17002ADA,-2.8,7.75
01018WEN,-2.1,7.75
11002ATE,-0.9833,7.75
12005PRI,-0.3,7.783
07009MPE,0.55,7.783
12003BAS,-0.4167,7.7833
07009ADU,0.3833,7.7833
07022DOD,0.5167,7.8
07008KRA,-0.0333,7.8167
07011GYE,-0.1667,7.8333
01012NSA,-2.317,7.867
01022NCH,-1.983,7.883
01007DEB,-2.55,7.9
11010NYA,-0.9167,7.9
09005KPE,0.0333,7.9333
01014SAM,-2.7,7.95
01031BRA,-2.05,7.983
09012OHI,-0.1,7.983
11006PRA,-0.8833,7.9833
07000BRE,0.55,8
01000KIN,-1.717,8.05
07006BEJ,0,8.067
09001DAM,0.2167,8.0833
09005TUT,0.4,8.1
01002NEW,-2.033,8.15
07007CHI,-0.1333,8.15
01000BAN,-2.35,8.167
01004BAM,-2.033,8.167
08008GRU,-0.2667,8.2
07004YEJ,-0.65,8.217
08011ZON,-0.1167,8.25
18010BOR,-0.05,8.25
09007KIT,0.1667,8.2667
19004NKA,0.5167,8.2667
09003KRA,0.5,8.267
01001BUI,-2.267,8.283
01005JAM,-2.183,8.3
14034BAN,-0.0833,8.3167
07012MAN,-0.6,8.333
08009KAT,-0.0333,8.4167
08002KPA,-0.0167,8.4333
07001ABR,-1.017,8.483
09002KUE,0.5833,8.5167
07003SAL,-0.5167,8.55
08001DAG,-0.5,8.7
01002BUI,-1.467,8.783
09006BIM,0.0667,8.85
07000BOL,-2.483,9.033
01001DAM,-1.817,9.067
01002DAM,-1.811,9.085
07018PAL,-0.55,9.1
03000BUS,-1.5,9.15
04007YAP,-1.15,9.15
09002WAP,0.1,9.183
04003KUS,-1.033,9.2
04005SLA,-1.017,9.233
01002SAW,-2.417,9.283
09001ZAB,0.3833,9.2833
07009TUG,-0.6,9.367
07012NYA,-0.9667,9.4
08011ZAN,-0.2667,9.4167
04006TOL,-1.067,9.417
08010YDI,-0.0167,9.45
07004MAL,-0.8833,9.4667
02003TUN,-2.417,9.483
01007MOL,-2.038,9.507
04003KUM,-0.95,9.55
07006TLE,-0.8624,9.5539
01006KAL,-2.65,9.567
04009DAB,-1.383,9.567
04015SAV,-0.8333,9.6
08014PIO,-0.0667,9.6167
04005PON,-0.8333,9.6667
0900SAB,-0.3,9.717
09000SAB,0.3,9.717
01005WEC,-2.683,9.833
04002KAR,-0.4333,9.9167
06000GUS,-0.2167,9.9167
01004VER,-2.6,9.933
01009DOR,-2.683,10.033
01013WA,-2.5,10.05
09023NAW,-0.0833,10.0667
02009KUN,-1.75,10.13
09003CHE,0.2833,10.1333
06025NAS,-0.8,10.15
01008KEO,-2.55,10.17
09002KUD,0.0167,10.2
09004WAW,0.3333,10.2167
02008FUN,-1.983,10.283
01014CHA,-2.783,10.35
02011KOJ,-2.25,10.35
06013WAL,-0.8,10.35
01012NAD,-2.667,10.367
01007DAF,-2.567,10.417
06019GUA,-0.7,10.42
02001FUM,-1.45,10.45
01006BUS,-2.5,10.48
02011WAL,-1.967,10.5
01000BAB,-2.817,10.517
01002JIR,-2.7,10.53
06006GAM,-0.45,10.53
06008NAL,-0.3667,10.5333
09001BEN,-0.0333,10.55
06020SAK,-0.2667,10.5833
04028PWA,-0.85,10.6
09010NAN,-0.1833,10.6333
01003LAW,-2.867,10.65
04007WIA,-1.267,10.65
04014ZON,-0.4167,10.6667
01001HAN,-2.433,10.683
01010KO,-2.567,10.733
04005SAN,-1.283,10.733
04002KOL,-1.083,10.733
04029KUG,-0.2833,10.7667
04003BOL,-0.85,10.78
04015ZUA,-0.8,10.78
04000BIN,-0.4833,10.7833
02012NAK,-1.467,10.8
04027BOL,-0.8667,10.8
01005SAM,-2.583,10.833
01004NAM,-2.75,10.85
04006TON,-1.167,10.85
04031GAR,-0.1833,10.85
04007GAR,-0.1667,10.85
02010TUM,-1.983,10.867
04026VEA,-0.85,10.87
05009NAN,-0.65,10.87
04003NAV,-1.083,10.878
04013DOB,-1.083,10.883
04016MIR,-0.9833,10.9
04004BON,-0.8,10.9
04024WUR,-0.0667,10.9
04030BIN,-0.3,10.95
04004PAG,-1.1,10.97
04002BIN,-0.3,10.97
04000KAY,-1.317,10.983
04001MAN,-0.2667,11.0167
04000BAW,-0.2333,11.05
04002PUS,-0.1167,11.0833